province_state,country_region,observation_date,continent,us_county,us_state,confirmed_total,deaths_total,recovered_total,confirmed_daily,deaths_daily,recovered_daily,latitude,longitude
,Malaysia,2020-02-28 00:00:00+00,,,,23,0,18,0,0,0,2.5,112.5
,Malaysia,2020-02-29 00:00:00+00,,,,25,0,18,2,0,0,2.5,112.5
,Malaysia,2020-03-01 00:00:00+00,,,,29,0,18,4,0,0,2.5,112.5
,Malaysia,2020-03-02 00:00:00+00,,,,29,0,18,0,0,0,2.5,112.5
,Malaysia,2020-03-03 00:00:00+00,,,,36,0,22,7,0,4,2.5,112.5
,Malaysia,2020-03-04 00:00:00+00,,,,50,0,22,14,0,0,2.5,112.5
,Malaysia,2020-03-05 00:00:00+00,,,,50,0,22,0,0,0,2.5,112.5
,Malaysia,2020-03-06 00:00:00+00,,,,83,0,22,33,0,0,2.5,112.5
,Malaysia,2020-03-07 00:00:00+00,,,,93,0,23,10,0,1,2.5,112.5
,Malaysia,2020-03-08 00:00:00+00,,,,99,0,24,6,0,1,2.5,112.5
,Malaysia,2020-03-09 00:00:00+00,,,,117,0,24,18,0,0,2.5,112.5
,Malaysia,2020-03-10 00:00:00+00,,,,129,0,24,12,0,0,2.5,112.5
,Malaysia,2020-03-11 00:00:00+00,,,,149,0,26,20,0,2,2.5,112.5
,Malaysia,2020-03-12 00:00:00+00,,,,149,0,26,0,0,0,2.5,112.5
,Malaysia,2020-03-13 00:00:00+00,,,,197,0,26,48,0,0,2.5,112.5
,Malaysia,2020-03-14 00:00:00+00,,,,238,0,35,41,0,9,2.5,112.5
,Malaysia,2020-03-15 00:00:00+00,,,,428,0,42,190,0,7,2.5,112.5
,Malaysia,2020-03-16 00:00:00+00,,,,566,0,42,138,0,0,2.5,112.5
,Malaysia,2020-03-17 00:00:00+00,,,,673,2,49,107,2,7,2.5,112.5
,Malaysia,2020-03-18 00:00:00+00,,,,790,2,60,117,0,11,2.5,112.5
